,session_id,device,data loss (%),lost frames (#),total frames (#),loss events (#),total loss time (s),avg loss time (s),duplicates (#),obt. duration (h:m:s),exp. duration (h:m:s),Seq Rest (#),Seq Loss (#),Seq Loss (%),Total Seq Loss (s),exp sampling_rate (Hz),avg sampling period (s),std sampling period (s),max sampling period (s),min sampling period (s),buffer full (#),buffer lost frames (#),total time buffer full (s),buffer full avg (ts),buffer full max (ts),buffer full min (ts),time resets (#),time resets max (ts),time resets min (ts),time resets avg (ts),time resets std (ts)
0,1,7C:9E:BD:B5:A0:8A,0.0,0,3043980,965,67.69301300000188,0.07015 +- 0.04682,0,8.0:27.0:19.799999999999272,8.0:28.0:20.010385513305664,0,0,0.0,0.0,100,0.01002,0.00136,0.29448,0.00013,965,0,67.69301300000188,0.07015 +- 0.04682,0.29448,0.02322,0,0,0,0,0
1,1,7C:9E:BD:B5:98:1A,0.0,2,3040902,1322,103.63060600003564,0.07839 +- 0.05247,0,8.0:26.0:49.02000000000044,8.0:28.0:20.010385513305664,0,2,0.0,0.04,100,0.01003,0.0018,0.39804,0.00011,1320,0,103.59060600003113,0.07848 +- 0.05246,0.39804,0.02312,0,0,0,0,0
2,1,E8:9F:6D:D1:25:42,0.0,3,3040823,1278,103.15673500008097,0.08072 +- 0.05629,0,8.0:26.0:48.22999999999956,8.0:28.0:20.010385513305664,0,3,0.0,0.05,100,0.01003,0.00186,0.33623,9e-05,1276,0,103.10673700008238,0.0808 +- 0.05629,0.33623,0.02329,0,0,0,0,0
3,1,E8:9F:6D:D2:D4:1A,0.0,0,3043960,928,66.47367499999564,0.07163 +- 0.04731,0,8.0:27.0:19.599999999998545,8.0:28.0:20.010385513305664,0,0,0.0,0.0,100,0.01002,0.00136,0.31522,0.00062,928,0,66.47367499999564,0.07163 +- 0.04731,0.31522,0.02321,0,0,0,0,0
4,1,E8:9F:6D:D2:64:3A,0.0,4,3035304,2126,170.25823800012358,0.08008 +- 0.05887,0,8.0:25.0:53.04000000000087,8.0:28.0:20.010385513305664,0,4,0.0,0.06,100,0.01005,0.00243,0.46097,0.00012,2124,0,170.19823800012227,0.08013 +- 0.05888,0.46097,0.02321,0,0,0,0,0
Average,1.00 ± 0.00,---,0.00 ± 0.00,1.80 ± 1.79,3040993.80 ± 3540.03,1323.80 ± 482.45,102.24 ± 42.14,---,0.00 ± 0.00,---,---,0.00 ± 0.00,1.80 ± 1.79,0.00 ± 0.00,0.03 ± 0.03,100.00 ± 0.00,0.01 ± 0.00,0.00 ± 0.00,0.36 ± 0.07,0.00 ± 0.00,1322.60 ± 481.67,0.00 ± 0.00,102.21 ± 42.11,---,0.36 ± 0.07,0.02 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
